waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Lake Winnebago,04082500,2023-12-18,2.40,A
Lake Winnebago,04082500,2023-12-19,2.44,A
Lake Winnebago,04082500,2023-12-20,2.43,A
Lake Winnebago,04082500,2023-12-21,2.42,A
Lake Winnebago,04082500,2023-12-22,2.41,A
Lake Winnebago,04082500,2023-12-23,2.41,A
Lake Winnebago,04082500,2023-12-24,2.41,A
Lake Winnebago,04082500,2023-12-25,2.40,A
Lake Winnebago,04082500,2023-12-26,2.39,A
Lake Winnebago,04082500,2023-12-27,2.41,A
Lake Winnebago,04082500,2023-12-28,2.45,A
Lake Winnebago,04082500,2023-12-29,2.45,A
Lake Winnebago,04082500,2023-12-30,2.43,A
Lake Winnebago,04082500,2023-12-31,2.46,A
Geneva Lake,423525088260400,2023-01-01,2.41,A
Geneva Lake,423525088260400,2023-01-02,2.41,A
Geneva Lake,423525088260400,2023-01-03,2.43,A
Geneva Lake,423525088260400,2023-01-04,2.44,A
Geneva Lake,423525088260400,2023-01-05,2.45,A
Geneva Lake,423525088260400,2023-01-06,2.45,A
Geneva Lake,423525088260400,2023-01-07,2.45,A
Geneva Lake,423525088260400,2023-01-08,2.45,A
Geneva Lake,423525088260400,2023-01-09,2.45,A
Geneva Lake,423525088260400,2023-01-10,2.44,A
Geneva Lake,423525088260400,2023-01-11,2.44,A
Geneva Lake,423525088260400,2023-01-12,2.45,A
Geneva Lake,423525088260400,2023-01-13,2.45,A
Geneva Lake,423525088260400,2023-01-14,2.45,A
Geneva Lake,423525088260400,2023-01-15,2.44,A
Geneva Lake,423525088260400,2023-01-16,2.45,A
Geneva Lake,423525088260400,2023-01-17,2.48,A
Geneva Lake,423525088260400,2023-01-18,2.47,A
Geneva Lake,423525088260400,2023-01-19,2.49,A
Geneva Lake,423525088260400,2023-01-20,2.50,A
Geneva Lake,423525088260400,2023-01-21,2.49,A
Geneva Lake,423525088260400,2023-01-22,2.49,A
Geneva Lake,423525088260400,2023-01-23,2.50,A
Geneva Lake,423525088260400,2023-01-24,2.49,A
Geneva Lake,423525088260400,2023-01-25,2.49,A
Geneva Lake,423525088260400,2023-01-26,2.51,A
Geneva Lake,423525088260400,2023-01-27,2.51,A
Geneva Lake,423525088260400,2023-01-28,2.50,A
Geneva Lake,423525088260400,2023-01-29,2.53,A
Geneva Lake,423525088260400,2023-01-30,2.52,A
Geneva Lake,423525088260400,2023-01-31,2.51,A
Geneva Lake,423525088260400,2023-02-01,2.51,A
Geneva Lake,423525088260400,2023-02-02,2.50,A
Geneva Lake,423525088260400,2023-02-03,2.49,A
Geneva Lake,423525088260400,2023-02-04,2.49,A
Geneva Lake,423525088260400,2023-02-05,2.49,A
Geneva Lake,423525088260400,2023-02-06,2.48,A
Geneva Lake,423525088260400,2023-02-07,2.49,A
Geneva Lake,423525088260400,2023-02-08,2.48,A
Geneva Lake,423525088260400,2023-02-09,2.53,A
Geneva Lake,423525088260400,2023-02-10,2.56,A
Geneva Lake,423525088260400,2023-02-11,2.56,A
Geneva Lake,423525088260400,2023-02-12,2.55,A
Geneva Lake,423525088260400,2023-02-13,2.55,A
Geneva Lake,423525088260400,2023-02-14,2.54,A
Geneva Lake,423525088260400,2023-02-15,2.56,A
Geneva Lake,423525088260400,2023-02-16,2.57,A
Geneva Lake,423525088260400,2023-02-17,2.59,A
Geneva Lake,423525088260400,2023-02-18,2.58,A
Geneva Lake,423525088260400,2023-02-19,2.58,A
Geneva Lake,423525088260400,2023-02-20,2.57,A
Geneva Lake,423525088260400,2023-02-21,2.56,A
Geneva Lake,423525088260400,2023-02-22,2.57,A
Geneva Lake,423525088260400,2023-02-23,2.64,A
Geneva Lake,423525088260400,2023-02-24,2.62,A
Geneva Lake,423525088260400,2023-02-25,2.62,A
Geneva Lake,423525088260400,2023-02-26,2.61,A
Geneva Lake,423525088260400,2023-02-27,2.70,A
Geneva Lake,423525088260400,2023-02-28,2.76,A
Geneva Lake,423525088260400,2023-03-01,2.75,A
Geneva Lake,423525088260400,2023-03-02,2.74,A
Geneva Lake,423525088260400,2023-03-03,2.72,A
Geneva Lake,423525088260400,2023-03-04,2.71,A
Geneva Lake,423525088260400,2023-03-05,2.70,A
Geneva Lake,423525088260400,2023-03-06,2.72,A
Geneva Lake,423525088260400,2023-03-07,2.71,A
Geneva Lake,423525088260400,2023-03-08,2.69,A
Geneva Lake,423525088260400,2023-03-09,2.69,A
Geneva Lake,423525088260400,2023-03-10,2.73,A
Geneva Lake,423525088260400,2023-03-11,2.71,A
Geneva Lake,423525088260400,2023-03-12,2.71,A
Geneva Lake,423525088260400,2023-03-13,2.70,A
Geneva Lake,423525088260400,2023-03-14,2.68,A
Geneva Lake,423525088260400,2023-03-15,2.67,A
Geneva Lake,423525088260400,2023-03-16,2.67,A
Geneva Lake,423525088260400,2023-03-17,2.71,A
Geneva Lake,423525088260400,2023-03-18,2.68,A
Geneva Lake,423525088260400,2023-03-19,2.66,A
Geneva Lake,423525088260400,2023-03-20,2.64,A
Geneva Lake,423525088260400,2023-03-21,2.61,A
Geneva Lake,423525088260400,2023-03-22,2.61,A
Geneva Lake,423525088260400,2023-03-23,2.60,A
Geneva Lake,423525088260400,2023-03-24,2.59,A
Geneva Lake,423525088260400,2023-03-25,2.65,A
Geneva Lake,423525088260400,2023-03-26,2.66,A
Geneva Lake,423525088260400,2023-03-27,2.67,A
Geneva Lake,423525088260400,2023-03-28,2.66,A
Geneva Lake,423525088260400,2023-03-29,2.66,A
Geneva Lake,423525088260400,2023-03-30,2.64,A
Geneva Lake,423525088260400,2023-03-31,2.66,A
Geneva Lake,423525088260400,2023-04-01,2.69,A
Geneva Lake,423525088260400,2023-04-02,2.67,A
Geneva Lake,423525088260400,2023-04-03,2.66,A
Geneva Lake,423525088260400,2023-04-04,2.67,A
Geneva Lake,423525088260400,2023-04-05,2.77,A
Geneva Lake,423525088260400,2023-04-06,2.75,A
Geneva Lake,423525088260400,2023-04-07,2.71,A
Geneva Lake,423525088260400,2023-04-08,2.70,A
Geneva Lake,423525088260400,2023-04-09,2.69,A
Geneva Lake,423525088260400,2023-04-10,2.67,A
Geneva Lake,423525088260400,2023-04-11,2.67,A
Geneva Lake,423525088260400,2023-04-12,2.67,A
Geneva Lake,423525088260400,2023-04-13,2.65,A
Geneva Lake,423525088260400,2023-04-14,2.64,A
Geneva Lake,423525088260400,2023-04-15,2.63,A
Geneva Lake,423525088260400,2023-04-16,2.67,A
Geneva Lake,423525088260400,2023-04-17,2.67,A
Geneva Lake,423525088260400,2023-04-18,2.64,A
Geneva Lake,423525088260400,2023-04-19,2.61,A
Geneva Lake,423525088260400,2023-04-20,2.63,A
Geneva Lake,423525088260400,2023-04-21,2.63,A
Geneva Lake,423525088260400,2023-04-22,2.61,A
Geneva Lake,423525088260400,2023-04-23,2.60,A
Geneva Lake,423525088260400,2023-04-24,2.58,A
Geneva Lake,423525088260400,2023-04-25,2.57,A
Geneva Lake,423525088260400,2023-04-26,2.57,A
